date,of_orders,of_new_orders,new_customers,total_revenue,gross_profit,cogs,impressions,clicks,spend,attributed_revenue,ctr,roas
2025-05-30,3695,1364,1272,262078.97,152352.5,109726.47,5296175,128734,46977.39,129427.02,0.024306976261169618,2.7550917579712286
2025-05-31,2839,1143,1124,311053.4,191986.06,119067.34,5520102,143852,44786.520000000004,125403.53,0.026059663390277932,2.800028446059216
2025-06-01,2571,1279,1226,255879.74,135261.16,120618.58,5737046,161051,45391.46,133620.71,0.028072112372813464,2.9437411795082156
2025-06-02,3118,1242,1205,307232.77,148210.99,159021.78,5906207,152984,46107.8,129337.68000000001,0.025902241489334864,2.805114969701439
2025-06-03,3281,1413,1428,347768.64,210208.71,137559.93,5892508,147992,51232.64,144685.59,0.025115281981797903,2.82409007226643
2025-06-04,3178,1486,1395,326038.67,187910.1,138128.57,6063830,153442,46824.97,133194.72,0.02530446928756248,2.8445233387229076
2025-06-05,3256,1347,1363,264534.4,140613.06,123921.34,5521931,136914,47383.54,133231.43,0.02479458725579874,2.811766068976695
2025-06-06,2941,1080,1016,294622.51,150806.04,143816.47,5959322,144218,51800.259999999995,142756.3,0.02420040400569058,2.7558992947139647
2025-06-07,3588,1642,1592,312361.94,183159.55,129202.39,5855818,140995,44771.76,126252.86,0.024077763345787043,2.8199217542486603
2025-06-08,2351,1166,1108,238539.55,123202.23,115337.32,6483046,167451,46518.229999999996,131145.87,0.025829062449965648,2.819236028541929
2025-06-09,4688,1446,1416,332386.4,164252.25,168134.15,6174413,156159,52683.01,153335.69,0.025291311093054512,2.910533965314434
2025-06-10,2844,1560,1491,279947.9,138358.0,141589.9,5054334,118254,40869.31,115935.60999999999,0.023396554323477634,2.8367400868769255
2025-06-11,2503,1115,1066,266579.13,134311.89,132267.24,6600955,179991,51503.31,145203.24,0.027267418123589692,2.8192991867901305
2025-06-12,3226,1409,1434,245632.45,122339.86,123292.59,5454298,136742,44810.19,127995.17000000001,0.025070504031866246,2.856385344494188
2025-06-13,3794,1442,1439,280759.18,173768.89,106990.29,5958240,150001,50481.6,140559.41999999998,0.025175387362711136,2.784369354378625
2025-06-14,2849,1407,1366,254952.68,125791.92,129160.76,5658213,140766,46089.96,129725.87,0.024878172666882636,2.8146231847456584
2025-06-15,3837,1909,1940,273449.33,154000.52,119448.81,5304439,129492,44597.090000000004,123330.65,0.02441200662313206,2.765441646528955
2025-06-16,3112,1406,1413,246546.12,146123.4,100422.72,5136382,125362,41906.34,113528.20000000001,0.02440667380268835,2.709093659813766
2025-06-17,2754,828,796,268478.64,155613.89,112864.75,5115587,125150,42395.16,120350.14,0.024464445624715208,2.8387707464720027
2025-06-18,2350,948,933,205892.84,111708.52,94184.32,5030125,129390,39650.9,110958.48,0.02572301881165975,2.798384904251858
2025-06-19,3329,1745,1642,252292.39,135610.52,116681.87,4818069,132402,38218.229999999996,107499.76999999999,0.027480303831265183,2.8127877716995267
2025-06-20,2352,1050,1029,238838.78,140053.87,98784.91,4662334,116103,38111.87,104290.82,0.02490233432439632,2.7364393297941034
2025-06-21,2642,1314,1325,193739.26,101995.71,91743.55,4428131,110337,38409.59,102301.97,0.02491728451574716,2.663448633531366
2025-06-22,2629,1324,1237,204623.63,110598.24,94025.39,5149710,136497,39586.29,108390.48000000001,0.02650576440226731,2.7380812902648874
2025-06-23,2678,1088,1013,224725.49,124066.35,100659.14,4948755,112332,41134.66,111997.54000000001,0.02269904248644356,2.722704891689879
2025-06-24,2789,1036,1008,223036.6,118532.52,104504.08,4765472,114052,37588.0,103868.41,0.0239329913175442,2.7633396296690433
2025-06-25,2076,1068,1022,226634.34,120591.38,106042.96,4803422,127935,38266.689999999995,111703.35,0.026634137079773544,2.919075310668365
2025-06-26,3659,1354,1292,258581.26,130668.26,127913.0,4818536,124204,39016.979999999996,109786.12999999999,0.02577629387847263,2.8138038874356757
2025-06-27,2453,751,711,184223.58,108267.23,75956.35,4368446,105238,36252.9,97141.06,0.024090488929015032,2.6795390161890493
2025-06-28,3930,1849,1846,307475.24,149606.21,157869.03,5683224,137236,45059.86,132992.65,0.024147561313789496,2.951466116406043
2025-06-29,2434,939,935,262293.26,154577.22,107716.04,5349406,129709,42239.76,120976.01000000001,0.02424736503454776,2.8640316611647414
2025-06-30,3922,1709,1645,294637.56,153617.64,141019.92,5234075,121407,46959.11,133679.97999999998,0.023195502548205748,2.846731550065578
2025-07-01,2691,1280,1253,260678.58,151234.85,109443.73,5137096,128815,42098.21,120365.99,0.025075451188765013,2.8591712094172177
2025-07-02,2185,1010,936,221373.06,110298.83,111074.23,5798032,139617,41694.88,117814.48,0.024080067167618253,2.8256342265525167
2025-07-03,2425,1294,1301,245773.9,143543.71,102230.19,5454764,132034,44573.31,122284.68,0.024205263509108736,2.7434507331853974
2025-07-04,2863,1528,1508,309074.55,157364.9,151709.65,5343446,126320,46890.119999999995,129519.35,0.023640175272661126,2.762188495145673
2025-07-05,2401,1308,1281,255166.55,156650.22,98516.33,5843405,147184,46364.770000000004,129534.85,0.025188053882967208,2.793820609915675
2025-07-06,2325,1037,992,250387.78,131988.5,118399.28,5923070,130079,48769.05,133244.91,0.0219614152795763,2.73216127851578
2025-07-07,3157,1067,1055,281358.54,144783.74,136574.8,6844957,179869,52654.84,148679.95,0.026277593854862783,2.8236711003205026
2025-07-08,4059,1859,1828,309158.9,162124.63,147034.27,5750439,136061,48011.62,135124.97999999998,0.023660976144603916,2.8144224252378898
2025-07-09,3405,1603,1558,309767.38,166259.78,143507.6,6578953,169286,55520.979999999996,157092.21,0.02573144997387882,2.8294206982657726
2025-07-10,3201,1142,1059,308905.09,154759.0,154146.09,5721272,133139,46183.35,133274.4,0.02327087402941164,2.8857672732705617
2025-07-11,2721,1117,1096,287198.02,172144.23,115053.79,5468322,134973,46163.16,128493.53,0.024682708882176288,2.783464780140701
2025-07-12,2422,807,796,244765.7,125622.42,119143.28,5523738,130769,45368.22,119856.45999999999,0.023674004813407153,2.6418594337622237
2025-07-13,2375,963,934,253761.23,131128.09,122633.14,5439869,130017,44672.29,124739.91,0.023900759374904063,2.792333010015829
2025-07-14,2387,852,868,258456.91,137153.92,121302.99,5268192,138769,46806.56,134586.38,0.026340915441198803,2.875374306507464
2025-07-15,2597,1428,1354,222248.63,110293.62,111955.01,4787500,123673,42026.630000000005,114042.28,0.02583248041775457,2.7135718471835593
2025-07-16,3996,1865,1772,318631.49,168834.07,149797.42,5163357,128745,45814.35,131800.2,0.02493435956491097,2.876832258888318
2025-07-17,2645,892,871,210274.48,122505.97,87768.51,5421327,136675,37734.46,109804.5,0.025210617252934567,2.9099263643894733
2025-07-18,2451,1336,1345,234358.56,122684.32,111674.24,4653041,110819,39277.59,110422.01999999999,0.023816467553155023,2.8113237090157517
2025-07-19,2282,772,786,208348.08,116790.05,91558.03,4712936,107999,34412.770000000004,96351.8,0.02291543954766201,2.799885042674565
2025-07-20,3558,1611,1643,269928.31,160649.81,109278.5,4725707,122395,36604.55,108269.91,0.025899828321984415,2.9578265543491176
2025-07-21,2838,1160,1106,267155.65,148102.94,119052.71,5217763,131704,43222.36,119393.42,0.025241468422387142,2.762306824523233
2025-07-22,3003,1322,1276,214550.99,116024.2,98526.79,4599785,108525,37818.79,105793.9,0.02359349404374335,2.7973898688985024
2025-07-23,3858,1748,1741,284255.03,150056.99,134198.04,5473688,128139,48960.28,136065.63,0.0234099934084661,2.7791023662446377
2025-07-24,2103,696,709,214993.51,113319.63,101673.88,4479982,114802,33869.28,93980.56,0.025625549388368078,2.774802416821379
2025-07-25,2797,1123,1076,291251.97,174849.58,116402.39,4743457,106884,41372.899999999994,117629.63,0.022532933259435048,2.8431565106627774
2025-07-26,2812,946,945,280697.62,148965.29,131732.33,5260661,132694,42468.380000000005,120721.81,0.025223826435499266,2.8426280917708655
2025-07-27,2377,815,799,224499.08,117565.4,106933.68,5337058,137293,43980.130000000005,122829.69,0.025724472171747056,2.7928450870881916
2025-07-28,2561,1095,1045,204053.06,108272.37,95780.69,4950496,125065,37630.299999999996,111763.04000000001,0.02526312514947997,2.970027876471886
2025-07-29,3260,1035,993,254314.45,147428.24,106886.21,5572661,143663,44248.479999999996,123557.70999999999,0.025779964006423503,2.792360551142096
2025-07-30,4266,1440,1451,343570.79,201524.77,142046.02,6289462,155362,50580.5,140742.41,0.024701953839612992,2.782542877195757
2025-07-31,3160,1347,1291,238995.46,141694.68,97300.78,5313220,131007,43382.520000000004,123164.0,0.02465679945494446,2.839023643624206
2025-08-01,2938,1401,1301,239297.93,120148.75,119149.18,5827967,153547,44198.22,126729.39,0.02634658020541297,2.867296239531818
2025-08-02,3018,1570,1543,258875.51,148809.85,110065.66,5496180,124568,47389.65,132509.72999999998,0.022664468776495677,2.7961744811367035
2025-08-03,3702,1620,1554,340964.16,199409.58,141554.58,6169052,154673,49213.37,138192.69,0.025072409828933197,2.808031435359944
2025-08-04,2677,950,898,247384.79,144893.62,102491.17,5464914,131328,47178.850000000006,131148.47,0.02403111924542637,2.779814895869653
2025-08-05,2524,1232,1145,255349.35,151364.66,103984.69,6066173,142751,47286.14,131833.02000000002,0.02353229952393379,2.787984386122446
2025-08-06,3054,1333,1240,286964.59,156208.01,130756.58,5506914,146594,43043.71,121984.06,0.026619990797023523,2.833957853540041
2025-08-07,3816,1271,1250,290615.11,166892.32,123722.79,6080287,159528,46013.44,130876.01,0.02623691940857397,2.844299622023478
2025-08-08,3322,1342,1305,300068.84,182338.19,117730.65,6199975,166488,47181.28,134543.54,0.026853011504078646,2.8516297141578186
2025-08-09,3296,1789,1796,299669.71,178918.65,120751.06,6485327,169230,48407.82,137553.7,0.026094289462967712,2.841559483571043
2025-08-10,3153,1588,1507,306997.73,169616.47,137381.26,6304919,155867,47270.89,134421.38,0.024721491267373934,2.8436397114587857
2025-08-11,2309,1072,1019,252722.59,153870.3,98852.29,5828279,142515,48350.47,135116.61,0.02445232975291677,2.794525265214588
2025-08-12,2954,1318,1313,285009.86,143614.18,141395.68,5348946,139808,41314.55,114233.93,0.02613748577757188,2.7649806182083547
2025-08-13,2900,1238,1232,244095.73,145083.84,99011.89,5524574,139114,42955.479999999996,117976.48,0.02518094607837636,2.7464826373724613
2025-08-14,2557,1363,1288,246950.21,121768.63,125181.58,5016405,124727,36275.32,99789.48000000001,0.024863821800671995,2.750891790892541
2025-08-15,2017,894,859,204220.75,99324.09,104896.66,4986096,113511,35695.15,95045.57,0.022765506319974586,2.6627026360724075
2025-08-16,3486,1371,1304,287374.16,174824.52,112549.64,5855324,144783,48459.130000000005,138277.3,0.024726727333961366,2.8534829246831293
2025-08-17,3046,1172,1097,260207.76,157620.15,102587.61,5729713,145929,49239.29,142903.85,0.025468814930171894,2.902232140227855
2025-08-18,2303,1243,1156,206556.83,121671.75,84885.08,4813997,118048,36802.81,102102.05,0.02452182666503531,2.7743003863020244
2025-08-19,2358,745,750,241960.59,144644.5,97316.09,4681484,111335,37654.91,111038.18,0.023781988788170588,2.9488366855743378
2025-08-20,3105,1069,1015,238645.09,127445.31,111199.78,4760061,108983,39890.51,112824.62,0.02289529482920492,2.8283574213515945
2025-08-21,2530,1303,1329,205032.67,102612.53,102420.14,4756179,115799,37202.99,104641.65,0.024347065154612556,2.8127215043737075
2025-08-22,2168,668,645,215178.34,113944.49,101233.85,4860178,122200,36421.649999999994,107620.63999999998,0.025143112042398448,2.954853500596486
2025-08-23,3550,1568,1548,320310.11,188007.73,132302.38,5296938,130901,47025.4,134260.34,0.024712579229736124,2.8550600313872927
2025-08-24,2523,1256,1178,258953.2,128419.08,130534.12,5459710,141626,45731.2,126270.98,0.025940205615316566,2.7611560597578895
2025-08-25,3242,1491,1514,268195.98,149466.13,118729.85,4900527,130086,40112.1,113912.12,0.02654530829031245,2.839844336247666
2025-08-26,3386,1325,1290,295071.75,179926.24,115145.51,5428621,140760,44026.42,122480.91,0.025929236909336642,2.78198658896181
2025-08-27,2601,1214,1136,216104.95,113084.41,103020.54,4913508,119075,39037.91,110999.41,0.02423421311209832,2.8433748118175384
2025-08-28,3236,1724,1652,247519.4,145793.47,101725.93,5589772,139499,47938.44,134529.25,0.024956116278087907,2.806291777538026
2025-08-29,3154,1088,1040,226107.82,117891.11,108216.71,4956224,125561,35822.76,102703.07,0.025334004274221666,2.866978144620906
2025-08-30,3000,1426,1353,305078.01,175947.47,129130.54,5456139,133464,44135.82,125297.20999999999,0.024461253644747688,2.8389006933597245
2025-08-31,2395,1079,1038,238354.78,114496.24,123858.54,5711312,134745,45334.08,128047.81,0.023592652616421586,2.8245375223231615
2025-09-01,3757,1322,1316,296533.91,172492.17,124041.74,5970517,148406,44880.4,122842.42000000001,0.02485647390334874,2.7371061755242825
2025-09-02,2619,1273,1283,287607.96,152559.86,135048.1,5912055,151501,49675.81,137741.77,0.025625776485502925,2.7728137699214166
2025-09-03,3681,1452,1383,303803.33,162377.28,141426.05,6171596,160887,51907.81,144095.16,0.026068945536940526,2.7759822654818227
2025-09-04,2756,1383,1361,282378.04,158394.37,123983.67,5484600,131181,46952.44,130968.70999999999,0.023918061481238376,2.7893909240925496
2025-09-05,2640,908,863,221288.67,122521.82,98766.85,5260372,127363,42935.990000000005,118299.85,0.024211785782450368,2.7552607963622124
2025-09-06,3845,1440,1411,332048.9,199746.55,132302.35,6244299,143552,51853.1,141897.55,0.02298928991068493,2.7365297349628084
2025-09-07,5009,2491,2339,376324.45,183087.68,193236.77,6304089,142422,54280.649999999994,154271.83000000002,0.02259200338066293,2.8421146393788583
2025-09-08,2751,919,907,298644.18,146421.48,152222.7,5604162,136588,49478.51,143104.78,0.02437260022105,2.892261306979535
2025-09-09,4410,2027,1974,312940.13,151560.16,161379.97,6526543,166717,52270.93,149701.66,0.02554445745626743,2.8639563137675186
2025-09-10,2649,946,890,235893.29,141579.4,94313.89,5471387,135280,41299.16,114474.29,0.024724992035840273,2.7718309524939486
2025-09-11,2545,1382,1407,266395.31,133847.87,132547.44,5333917,131211,44007.87,126456.73000000001,0.02459937040640115,2.8735026257803433
2025-09-12,2624,966,894,263461.73,146803.98,116657.75,5769167,143018,45575.899999999994,129264.66,0.02479006067947071,2.836250298951859
